"Code","Description"
"939","HC ID 11"
"940","CTY OF LAPORTE TIRZ 1 (020)"
"941","NW MGMT DIST COMM"
"942","NW MGMT DIST (RES)"
"943","HC ID 9"
"944","GRTR SE MGMT DIST"
"945","GRTR SE MGMT DIST RES"
"946","NW MNGMNT DISTRICT 1"
"947","SOUTHWEST MGMT DIST"
"948","NW MNGMNT DISTRICT 3"
"949","GRTR NRTHSD MGMT DIST"
"950","H C ID 5"
"951","CITY OF BAYTOWN ID"
"952","LAKE HOUSTON:ANNEX (018)"
"953","MIDTOWN MGMT DIST"
"954","CITY OF DEER PARK IND"
"955","STATE OF TEXAS"
"956","STATE COMPTROLLER"
"957","AVONDALE T I F"
"958","MIDTOWN TIRZ 1 (001)"
"959","MIDTOWN TIRZ 2 (001)"
"960","MEMORIAL-HEIGHTS TIRZ (001)"
"961","EASTSIDE 6 (001)"
"962","LAKE HOUSTON 10 (018)"
"963","OST/ALMEDA 7 (001)"
"964","OST/ALMEDA 7:EXPNSN (001)"
"965","LYONDELL-CITGO FTZ"
"966","GULFGATE TIRZ (001)"
"967","SOUTH POST OAK TIRZ (001)"
"968","GREENSPOINT 11 TIRZ (009)"
"969","CITY PARK (001)"
"970","COMPLEX/INDUSTRIAL"
"971","OLD SIXTH WARD (001)"
"972","MIDTOWN TIRZ 2A (001)"
"973","FIFTH WARD (001)"
"974","GULF GATE ADDITION (001)"
"975","EAST DOWNTOWN (001)"
"976","GREATER EAST END MNGM"
"977","MEMORIAL CITY"
"978","UPTOWN TIRZ (001)"
"979","JACINTOPORT AREA"
"980","LAKE HOUSTON SPECIAL"
"981","CITY OF HO IND 1"
"982","CITY OF HO IND 2"
"983","CITY OF HO IND 3"
"984","CITY OF DEER PARK IND"
"985","CITY OF LAPORTE IND"
"986","CITY OF PASADENA IND"
"987","CAPITOL APPRAISAL"
"988","PRITCHARD & ABBOTT"
"989","THOMAS Y PICKETT"
"990","NON-ABATED 998 IMP/PP"
"991","GRTR E END MGMT RES"
"992","UPPER KIRBY TIRZ (001)"
"993","FOURTH WARD (001)"
"994","SW HOUSTON AREA TIRZ"
"995","EAST DOWNTOWN MNG DST"
"996","NEAR NW MNGMNT DIST"
"997","HC ID 4/ENER CORRIDOR"
"998","ABATEMENT/SPEC EXEMPT"
"999","BELLAIRE T I F"
